authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
GGJt5jHotkVrKvePt52niY6EApNnVzMKFZY7ex6UZKyZ,866253.250884,316908283.635295,Token 2poo,35.3572755465,175000,HLgyCLx9DCynrtuNz6jAJjVML6wxyBGfLCy5DdK7ndZw
9CXBtveXoB7LmW2yBRQFZ7cDnQyqUirFLKZkdMYSz3ao,851373.41268,106424686.554904333,Token UST3,27.7999481691,218750,7wTo2mjuwQagraKCUj9MiYx1T3jJDV7GYvAptSChKMRj
jHnbdVuErcaSUnT5dc2mmtQFqsxVjmAeHVzZVd123rw,412724.63008,105446684.759677,Token APUV,67.3836130742,43750,8Ps5gEdhvcR3jUfCAExftWxN3kKhcsAMuTj8oGwCn2Lw
GDR9nDAU6oAtnKhTmbUgAQTKfQbZSs3Zs2Ds13mKXtit,379489.657456,1754.88111635,Token SLPb,20.6524983647,131250,85B2vktA87vXMXoCpXvksyPopbPtShFXmRmR83EWo53a
CMb6zrEFaHm5AwuyDtgfMy6SeLM1wgxgGThUQ3zuL4q3,337506.013054,85685421.130011,Token PLYJ,55.1030225399,43750,HCHKp9otc72FnZnjL8UibiuqdT35jhUy57xugaxzc1wK
HKWsL4YAwavLrr6KJwnMq6MstbCw1TrEouMGpuV5xcAx,332462.655714,1476524.324646779,Token FTXd,54.2796172605,43750,CUe3RW1RueiCjU6KRtXsqELh7oSEN19sVd2M1DwskEwY
5QWPKmfAznqxir8GhhyatfJ8HHefFZA2JzZuw4sT2CyC,295741.391526,108193414.214563,Token 2poo,12.0710772051,175000,9W2HXkkP8X1ZnncoKJBJGiQh7omWcTCGBX3pAMPr94j4
HwcxwQvXSm4U9eqVGa9E483J5YCUJTJUCaf3RKNYGdtU,295594.060426,3997039.775872,Token SRMK,48.2602547625,43750,3Jnuka4TMrJEZEMCZnCnYz2NgWh1VNcMbtyr2Rvo7Ehs
Cr2pM3yvekivg9vE7MqzQNJ7yyZZKMYWME2o28jmxo5e,292869.575348,1354.3222516,Token SLPb,15.9384802913,131250,8cCx5mqbdhMEJEqB1WLPwR9mHjaYN4jARLFxJLKubLxW
BEfjBhEA2b1RrbBpJaLFtsWXxZJQs5pB2e8FVV48rUAU,292510.96182,28451320.09959475,Token HUSD,47.7568917260,43750,eehThWdAxcH32z9eKNppngkNqznoo4h2skfYV5oLfn1
DUKvfQS2jmZNMXBK4Z8uEABXq6hAjakNSdrRyRk4e78J,270664.050538,299427.95704766,Token stSj,44.1900490665,43750,DcpdEnadxu5TA5xfaszbqb7i8dFRDXGjn1iLyHG8fqZZ
HJX4X2GZ4k2bAxxT5Komfn9c73qC5M4vw37cDh9Mb8PG,252632.608214,213097.302415785,Token PSop,41.2461401171,43750,Hq6mhxD6aBJiaQmi6BGZivRJggD3oLvVUQUAqwdQi9vH
HXyHwNhbTHsRCNA4371JhmVE8qinyuajk7MUZQ5kk6CZ,249663.130346,791623.114485278,Token SoLE,20.3806637019,87500,HA7tZPu5MJriXidewqsvj8JSinXENhd9PjFpGLbBKGRJ
H2fVN37WAXNLucqpkpAwkpRRtYn7HzXX1UxtQuMzdS5b,233512.861498,29189933.255441024,Token UST3,7.6249097632,218750,8ZU6QHY1onG1e6jhE8PPf8gmGUpYnwxgib5RPLzargJJ
EhoedNjSgMcVGW7zqen6GvuWS75DWgeF4ePqGCYyy9jK,230776.644714,14808294.027765466,Token Daim,37.6778195455,43750,5ubtRSmz6yoLLcw8wZnfnWKCm6pSZUJHeUj9LVSPAfj6
SWdU6XE6cgwvV6Hk2VydaPnDCNqWTCE26rtJHPJqemP,189474.408284,600778.821431658,Token SoLE,15.4672986359,87500,4AHSZxsEJeFjQCUFuZ1o3gnJ7kBxcMqms8tJ5M4mqEHb
2ExxukaKnEq5rgScYCZCt8aqFtkAdtJ2h2eZmvEdckxn,174226.656772,2355902.808561,Token SRMK,28.4451684527,43750,sa6emNxcNuWoY6im6zrGjHX8BwqoeTRNCtnSkHMX7YD
ES6WrbGtLj86mPaBYvnesgDQbwxWpsjpR1AXhhREV1kJ,173596.714998,253537.902453481,Token PrsV,28.3423208158,43750,6LMQmoK78Ccq6zRsPD4w2ZDGx2GKbkCzn2y48FDbjq1G
3JnXpn6RLTre8ckczpvFUDBAficBKufH24McWQVfL3x5,170561.987428,540811.979388897,Token SoLE,13.9234275455,87500,HFu32p9nHaqgwcXFfzwhLk5DohYEwAsPP58J25NFpDgo
BV8Jx37PcNRCFLnQVRmxZ8TTmrQuV5rKnifR9XfqYseb,161944.984306,247.537680877,Token HBTC,26.4399974375,43750,4e3xriwYdz4Peh9stWUGYDUcQigDmaYTrhJ3XcRDaxrN
2asR4HQHhZrMHq4vGykzSHhRqhMZq9Q6C6Wb3JKgjg55,159321.362144,19915733.537093389,Token UST3,5.2023301924,218750,AQvaKQcgaMceMMhPMtau3kW8x7ZEntFJhb5pDHGqf2sW
jq7PA144WgMaGCaWMkyVw15CVHvKSp3p7zJ3pnDY9BE,134260.347074,49117525.515145,Token 2poo,5.4800141665,175000,7DNjooWMvjDfQJvUDNaYrC6nMNv9eMQw6req6NgvXc1v
DcXTfBYaghbN3kQAAn5SFV9iWY3rmew3L2YxGYBQrbg3,130612.607482,19905655.2658,Token PaiY,21.3245073439,43750,BGQE8sB6DC3Lo2b8DSkv9GA5P7HgzX7f4eDyExvAeKae
EatWFrRKwepgsRst6BCLWi2agdjh9nEULo7AfwHtP9Qj,130025.644196,198.748028879,Token HBTC,21.2286766025,43750,F6HqEKacNscFeZEYBNwq6JMjjn4JpLZpa1opkd6Y3Xrz
8oGyovoG9PUP2ggxfvkuReMj1u7tTBZpBgK5UftsJ4ve,122620.069418,7221027.024786566,Token FRAX,20.0196031710,43750,B4ym5nD6Q1snU61kwkspMW2KG6EvDAWpJpcfS5Xqeba
BV8Jx37PcNRCFLnQVRmxZ8TTmrQuV5rKnifR9XfqYseb,118517.942718,149.226298797,Token BREN,19.3498681985,43750,41nXeoapz7dYDyrh33NfkeiRhNV4cArPoB35L6Zn5jgW
7aknFVPieEmhRcznXUzFQuHP91g6HgUbf9DjezgW7YCp,118322.743938,6967959.940047992,Token FRAX,19.3179990093,43750,DB5f7N5TSZiX4sMSLfEf4WUbbcTtbZU99skR5bB5nXfA
3BKGkA8tZGqMf23j2kdwen4aa12Rm7cKGmKkpXAiW7Vd,110944.399342,16908176.091814,Token PaiY,18.1133713223,43750,C4ec1g26FNkKGtLp2Y77DjrNchVVYngDKfnmWPyByQEL
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,103729.137848,4977253.602729485,Token uSdK,16.9353694453,43750,2VcN91MYHkQau5vNCTJogeAA5SP6KtQg5SRVfh4d6Vs1
